feature,dtype,unique,missing,missing_pct,train_only,forbidden_target_or_id,forbidden_name_pattern,mean,std,min,max
IncidentId,float64,160316,0,0.0,False,True,False,0.1424164159284496,0.21674604403443282,0.0,1.0
Timestamp,object,279863,0,0.0,False,False,False,,,,
Category,int64,19,0,0.0,False,False,False,9.124033827860641,3.9595210411122346,0.0,18.0
MitreTechniques,int64,836,0,0.0,False,False,False,736.5757763015604,153.57722283557987,0.0,835.0
IncidentGrade,int64,4,0,0.0,False,True,True,0.988443310425938,0.9102863244511377,0.0,3.0
ActionGrouped,int64,4,0,0.0,False,False,False,2.977915709423262,0.25524958407665704,0.0,3.0
ActionGranular,int64,17,0,0.0,False,False,False,0.0642270872059124,0.9030392733596211,0.0,16.0
EntityType,int64,28,0,0.0,False,False,False,17.022126650154735,7.606404943429581,0.0,27.0
EvidenceRole,int64,2,0,0.0,False,False,False,0.5405480831045085,0.4983537616957693,0.0,1.0
ThreatFamily,int64,699,0,0.0,False,False,False,633.3378450436802,33.82943747986248,0.0,698.0
OSFamily,int64,4,0,0.0,False,False,False,2.92487404254895,0.46756093148345035,0.0,3.0
SuspicionLevel,int64,3,0,0.0,False,False,False,1.8161619232245108,0.3878283003989303,0.0,2.0
LastVerdict,int64,6,0,0.0,False,False,True,4.558025146638892,0.8191811717133987,0.0,5.0
hour,float64,24,0,0.0,False,False,False,0.5299959980490759,0.29424935093991766,0.0,1.0
day,float64,31,0,0.0,False,False,False,0.2539640259207394,0.14375529147989524,0.0,1.0
month,float64,8,0,0.0,False,False,False,0.4531498536895644,0.011892895140374745,0.0,1.0
is_weekend,float64,2,0,0.0,False,False,False,0.15869392962329876,0.36539088521342344,0.0,1.0
