feature,information_gain,unique,missing_pct,forbidden
Timestamp,1.3990248938405645,279863,0.0,False
MitreTechniques,0.21150143489041984,836,0.0,False
EntityType,0.1811847171209071,28,0.0,False
Category,0.16597162941627186,19,0.0,False
ActionGranular,0.05641633102627397,17,0.0,False
ActionGrouped,0.05615121190125838,4,0.0,False
day,0.04366564155102304,31,0.0,False
LastVerdict,0.04030678386256681,6,0.0,True
SuspicionLevel,0.03119723035169253,3,0.0,False
EvidenceRole,0.023919671206845017,2,0.0,False
is_weekend,0.010130938918500254,2,0.0,False
ThreatFamily,0.00718410791323465,699,0.0,False
OSFamily,0.005323930766506502,4,0.0,False
hour,0.005262761246180636,24,0.0,False
month,0.0007542174879422436,8,0.0,False
